Age Range,Outcome,Gender,Datetime,Removal of more than outer clothing,Officer Defined Ethnicity,Object of Search,Latitude,Location,Longitude
,Arrest,Male,2022-09-14T21:49:00+00:00,False,White,Controlled drugs,51.513614,Marble Arch (Lu Station),-0.158441
18-24,A no further action disposal,Male,2022-09-14T22:03:00+00:00,False,White,Offensive weapons,51.505587,London Bridge (Lu Station),-0.086493
over 34,Summons / charged by post,Male,2022-09-14T22:15:00+00:00,False,White,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
25-34,A no further action disposal,Male,2022-09-14T22:36:00+00:00,False,Black,Controlled drugs,51.564592,Finsbury Park (Station),-0.105883
25-34,A no further action disposal,Male,2022-09-15T06:33:00+00:00,False,Asian,Article for use in theft,51.502994,St  James'S Park (Gt London) (Lu Station),-0.133611
18-24,Summons / charged by post,Male,2022-09-15T10:59:00+00:00,False,Black,Controlled drugs,51.528664,Euston (Lu Station),-0.133296
10-17,A no further action disposal,Male,2022-09-15T12:08:00+00:00,False,Black,Controlled drugs,51.528665,Euston (Station),-0.132849
18-24,A no further action disposal,Male,2022-09-15T14:07:00+00:00,False,White,Controlled drugs,51.374849,East Croydon (Tram Stop),-0.092675
,A no further action disposal,Male,2022-09-15T14:54:00+00:00,False,Asian,Stolen goods,51.528664,Euston (Lu Station),-0.133296
18-24,Arrest,Male,2022-09-15T14:28:00+00:00,False,White,Controlled drugs,51.528664,Euston (Lu Station),-0.133296
10-17,A no further action disposal,Male,2022-09-15T16:56:00+00:00,False,White,Controlled drugs,51.528664,Euston (Lu Station),-0.133296
over 34,A no further action disposal,Female,2022-09-15T15:00:00+00:00,False,White,Controlled drugs,51.511476,Cannon Street (Station),-0.089900
25-34,Summons / charged by post,,2022-09-15T18:26:00+00:00,False,Black,Evidence of offences under the Act,51.519060,Liverpool Street (Station),-0.080342
10-17,A no further action disposal,Male,2022-09-15T18:27:00+00:00,False,,Controlled drugs,51.528664,Euston (Lu Station),-0.133296
10-17,A no further action disposal,,2022-09-15T19:30:00+00:00,False,Black,Controlled drugs,51.528664,Euston (Lu Station),-0.133296
18-24,A no further action disposal,Male,2022-09-15T20:12:00+00:00,False,White,Stolen goods,51.651604,Cockfosters (Lu Station),-0.149442
18-24,Arrest,Female,2022-09-15T20:25:00+00:00,False,Asian,Controlled drugs,51.552094,Wembley Central (Station),-0.296718
25-34,A no further action disposal,Male,2022-09-16T14:00:00+00:00,False,Black,Stolen goods,51.511770,Blackfriars (Station),-0.102879
18-24,A no further action disposal,Male,2022-09-16T15:26:00+00:00,False,Black,Offensive weapons,51.515372,Aldgate East (Lu Station),-0.071679
18-24,A no further action disposal,Male,2022-09-16T16:00:00+00:00,False,Asian,Controlled drugs,51.510796,Monument (Gt London) (Lu Station),-0.086053
10-17,A no further action disposal,Male,2022-09-16T18:21:00+00:00,False,White,Stolen goods,51.503379,Waterloo (Lu Station),-0.112212
10-17,A no further action disposal,Male,2022-09-15T16:47:00+00:00,False,White,Controlled drugs,51.528664,Euston (Lu Station),-0.133296
25-34,A no further action disposal,Male,2022-09-16T20:44:00+00:00,False,White,Controlled drugs,51.513614,Marble Arch (Lu Station),-0.158441
18-24,A no further action disposal,,2022-09-17T01:16:00+00:00,False,White,Controlled drugs,51.506954,Green Park (Lu Station),-0.142080
25-34,A no further action disposal,Male,2022-09-17T01:16:00+00:00,False,White,Controlled drugs,51.506954,Green Park (Lu Station),-0.142080
18-24,A no further action disposal,Male,2022-09-17T01:16:00+00:00,False,White,Controlled drugs,51.506954,Green Park (Lu Station),-0.142080
over 34,A no further action disposal,,2022-09-17T03:28:00+00:00,False,White,,51.546133,Maryland (Station),0.006481
over 34,A no further action disposal,Male,2022-09-17T07:56:00+00:00,False,White,Controlled drugs,51.517812,Liverpool Street (Lu Station),-0.081806
18-24,Arrest,Male,2022-09-16T08:52:00+00:00,False,Asian,Stolen goods,51.511771,Blackfriars (Lu Station),-0.103737
18-24,A no further action disposal,Male,2022-09-17T11:15:00+00:00,False,Black,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
10-17,A no further action disposal,,2022-09-17T11:20:00+00:00,False,,Controlled drugs,51.496420,London Victoria (Lu Station),-0.143102
25-34,Community resolution,Male,2022-09-17T15:50:00+00:00,False,Black,Controlled drugs,51.541693,Stratford (Lu Station),-0.003752
10-17,A no further action disposal,Female,2022-09-17T16:51:00+00:00,False,White,Stolen goods,51.515701,Oxford Circus (Lu Station),-0.141080
10-17,A no further action disposal,Male,2022-09-17T19:26:00+00:00,False,Black,Offensive weapons,51.515776,Paddington (Lu Station),-0.174871
,A no further action disposal,Male,2022-09-17T19:20:00+00:00,False,Other,Firearms,51.515776,Paddington (Lu Station),-0.174871
18-24,A no further action disposal,Male,2022-09-17T19:58:00+00:00,False,Black,Offensive weapons,51.519445,Paddington (Station),-0.176490
10-17,A no further action disposal,Male,2022-09-17T19:58:00+00:00,False,Black,Offensive weapons,51.519445,Paddington (Station),-0.176490
