GSScode,name,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile,has_co-operative,has_iceland,has_lidl,has_marks and spencer,has_morrisons,has_sainsburys,has_tesco,has_waitrose,Con_win
S14000088,Glasgow South West,SNP,36.3,81.5,79.8,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Second Quintile (35.3%-42.3%),True,True,True,True,True,True,True,False,False
S14000089,Glasgow West,SNP,59.5,72.7,65.4,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,False
E14001247,Glastonbury & Somerton,Con,30.5,84.3,81.2,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Lowest Quintile (<35.3%),True,False,True,True,True,True,True,False,True
S14000090,Glenrothes & Mid Fife,SNP,37.0,70.3,67.7,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Second Quintile (35.3%-42.3%),True,True,True,True,True,False,True,False,False
E14001248,Gloucester,Con,44.5,89.8,85.9,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,True
E14001249,Godalming & Ash,Con,60.1,78.0,78.0,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,False,False,True,False,True,True,True,True
E14001250,Goole & Pocklington,Con,45.5,85.5,84.7,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,True,False,True,True,True,False,True
S14000091,Gordon & Buchan,Con,52.8,87.0,84.6,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,True
E14001251,Gorton & Denton,Lab,49.4,68.2,66.1,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),False,True,True,False,True,True,True,False,False
E14001252,Gosport,Con,33.3,84.7,83.8,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Lowest Quintile (<35.3%),True,True,True,True,True,False,True,True,True
W07000097,Gower,Lab,51.0,79.2,77.2,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,False,False
E14001253,Grantham & Bourne,Con,29.7,71.4,64.8,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,True
E14001254,Gravesham,Con,41.1,87.0,85.6,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Second Quintile (35.3%-42.3%),True,True,True,False,True,True,True,False,True
E14001255,Great Grimsby & Cleethorpes,Con,20.2,76.0,72.1,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,True
E14001256,Great Yarmouth,Con,19.5,70.7,67.9,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,True
E14001257,Greenwich & Woolwich,Lab,72.7,90.1,87.8,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,False
E14001258,Guildford,Con,62.2,84.6,82.6,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,False,True,True,True,True,True,True,True
E14001259,Hackney North & Stoke Newington,Lab,72.0,79.3,67.6,Third Quintile (77.5%-80.6%),Lowest Quintile (<70.0%),Highest Quintile (57.9%+),True,True,False,False,True,True,True,False,False
E14001260,Hackney South & Shoreditch,Lab,68.8,87.8,86.1,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,True,True,False,True,True,False,False
E14001261,Halesowen,Con,39.2,86.6,85.4,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Second Quintile (35.3%-42.3%),True,True,True,False,False,False,True,False,True
E14001262,Halifax,Lab,39.7,77.4,76.5,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Second Quintile (35.3%-42.3%),False,True,True,True,True,True,True,False,False
E14001263,Hamble Valley,Con,50.8,89.0,81.8,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Fourth Quintile (48.3%-57.9%),True,True,True,True,True,True,True,True,True
S14000092,Hamilton & Clyde Valley,SNP,45.0,72.1,72.1,Lowest Quintile (<73.6%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001264,Hammersmith & Chiswick,Lab,81.3,78.6,76.3,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,True,True,True,False,True,True,True,False
E14001214,Hampshire East,Con,67.4,85.4,82.4,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Highest Quintile (57.9%+),True,True,True,True,True,True,True,True,True
E14001392,Hampshire North East,Con,54.2,88.2,83.1,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),True,False,False,True,True,True,True,True,True
E14001403,Hampshire North West,Con,46.0,86.4,86.4,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,True,False,True,True,True,True,True
E14001265,Hampstead & Highgate,Lab,77.8,74.9,73.5,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,True,False,True,False,True,True,True,False
E14001266,"Harborough, Oadby & Wigston",Con,45.2,84.7,81.6,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,True
E14001267,Harlow,Con,27.7,74.9,66.6,Second Quintile (73.6%-77.5%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,True,True,True,True,False,True
E14001268,Harpenden & Berkhamsted,Con,46.7,81.7,72.9,Fourth Quintile (80.6%-84.2%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,False,False,True,True,True,True,True,True
E14001269,Harrogate & Knaresborough,Con,45.9,81.8,81.1,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Third Quintile (42.3%-48.3%),True,False,True,True,True,True,True,True,True
E14001270,Harrow East,Con,59.3,75.5,74.3,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),False,True,True,False,True,True,True,True,True
E14001271,Harrow West,Lab,50.4,85.0,73.4,Highest Quintile (84.2%+),Second Quintile (70.0%-74.7%),Fourth Quintile (48.3%-57.9%),False,True,True,True,True,False,True,True,False
