LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2017,107.9488169
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2018,109.9690826
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2019,113.0547309
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2020,123.1456537
AUT,HOUSECOST,PRICERENT,IDX2015,A,2000,94.93015842
AUT,HOUSECOST,PRICERENT,IDX2015,A,2001,93.1077487
AUT,HOUSECOST,PRICERENT,IDX2015,A,2002,92.09627855
AUT,HOUSECOST,PRICERENT,IDX2015,A,2003,88.47789962
AUT,HOUSECOST,PRICERENT,IDX2015,A,2004,83.8710257
AUT,HOUSECOST,PRICERENT,IDX2015,A,2005,85.12959994
AUT,HOUSECOST,PRICERENT,IDX2015,A,2006,86.67596349
AUT,HOUSECOST,PRICERENT,IDX2015,A,2007,88.97940722
AUT,HOUSECOST,PRICERENT,IDX2015,A,2008,88.81671985
AUT,HOUSECOST,PRICERENT,IDX2015,A,2009,88.16088942
AUT,HOUSECOST,PRICERENT,IDX2015,A,2010,92.74944122
AUT,HOUSECOST,PRICERENT,IDX2015,A,2011,95.38085729
AUT,HOUSECOST,PRICERENT,IDX2015,A,2012,98.04939457
AUT,HOUSECOST,PRICERENT,IDX2015,A,2013,100.0185009
AUT,HOUSECOST,PRICERENT,IDX2015,A,2014,99.57956939
AUT,HOUSECOST,PRICERENT,IDX2015,A,2015,100
AUT,HOUSECOST,PRICERENT,IDX2015,A,2016,105.3096916
AUT,HOUSECOST,PRICERENT,IDX2015,A,2017,106.464409
AUT,HOUSECOST,PRICERENT,IDX2015,A,2018,107.4804562
AUT,HOUSECOST,PRICERENT,IDX2015,A,2019,110.4472897
AUT,HOUSECOST,PRICERENT,IDX2015,A,2020,114.2321795
AUT,HOUSECOST,REAL,IDX2015,A,2000,78.00182663
AUT,HOUSECOST,REAL,IDX2015,A,2001,76.83593135
AUT,HOUSECOST,REAL,IDX2015,A,2002,76.49253033
AUT,HOUSECOST,REAL,IDX2015,A,2003,75.53564517
AUT,HOUSECOST,REAL,IDX2015,A,2004,72.83831851
AUT,HOUSECOST,REAL,IDX2015,A,2005,74.66454249
AUT,HOUSECOST,REAL,IDX2015,A,2006,76.13380209
AUT,HOUSECOST,REAL,IDX2015,A,2007,77.76525763
AUT,HOUSECOST,REAL,IDX2015,A,2008,76.98483861
AUT,HOUSECOST,REAL,IDX2015,A,2009,79.72147106
AUT,HOUSECOST,REAL,IDX2015,A,2010,85.69519043
AUT,HOUSECOST,REAL,IDX2015,A,2011,88.26024178
AUT,HOUSECOST,REAL,IDX2015,A,2012,92.53999138
AUT,HOUSECOST,REAL,IDX2015,A,2013,95.33221253
AUT,HOUSECOST,REAL,IDX2015,A,2014,96.72201899
AUT,HOUSECOST,REAL,IDX2015,A,2015,100
AUT,HOUSECOST,REAL,IDX2015,A,2016,106.9865703
AUT,HOUSECOST,REAL,IDX2015,A,2017,110.6833226
AUT,HOUSECOST,REAL,IDX2015,A,2018,113.5760088
AUT,HOUSECOST,REAL,IDX2015,A,2019,118.1372939
AUT,HOUSECOST,REAL,IDX2015,A,2020,125.5040222
AUT,HOUSECOST,RENT,IDX2015,A,1966,6.677056939
AUT,HOUSECOST,RENT,IDX2015,A,1967,7.074865125
AUT,HOUSECOST,RENT,IDX2015,A,1968,7.570594932
