Date,Employees: Manufacturing,Employees: Total Nonfarm,Manufacturing % of Total,Imports from China (12-month avg.),Nominal GDP,Imports (% of GDP),Sources
2008-03-01,13659,138255,0.09879570359119019,322769.540035,14689894.0,0.021972217092580792,
2008-04-01,13599,138038,0.09851635057013286,324479.684258,14757867.0,0.021986895820242856,
2008-05-01,13564,137847,0.09839894956001945,326823.642259,14802036.0,0.022079641088496204,
2008-06-01,13504,137689,0.09807609903478129,327683.321595,15037201.0,0.021791510374503872,
2008-07-01,13430,137492,0.0976784103802403,330329.42145,14973673.0,0.02206068086634455,
2008-08-01,13358,137209,0.09735512976554016,333728.617904,14917057.0,0.022372282810476624,
2008-09-01,13275,136758,0.0970692756548063,337388.38600500004,14806267.0,0.02278686356290887,
2008-10-01,13147,136294,0.09646059254259175,339865.367886,14695042.0,0.023127893604251014,
2008-11-01,13034,135546,0.0961592374544435,338349.674125,14698705.0,0.023019012499740626,
2008-12-01,12850,134849,0.09529177079548236,337772.62782299996,14430877.0,0.023406243974153473,
2009-01-01,12561,134069,0.09369056232238623,336323.05308,14478529.0,0.02322908999111719,
2009-02-01,12380,133311,0.09286555498045923,331072.66183500004,14443144.0,0.022922478778512494,
2009-03-01,12208,132493,0.09214071686806095,329857.133578,14371029.0,0.022952923800933115,
2009-04-01,12030,131825,0.09125734875782288,325826.06183,14360229.0,0.022689475344021326,
2009-05-01,11862,131470,0.09022590705103826,320925.677233,14378012.0,0.022320587660728062,
2009-06-01,11726,131002,0.08951008381551427,316967.81093599997,14405467.0,0.022003299923286066,
2009-07-01,11668,130661,0.0892997910623675,311391.624676,14376493.0,0.021659776461199542,
2009-08-01,11626,130480,0.0891017780502759,305366.04644299997,14479884.0,0.02108898430698754,
2009-09-01,11591,130240,0.08899723587223587,300181.232404,14490269.0,0.020716056575899318,
2009-10-01,11538,130062,0.0887115375743876,295706.626986,14693988.0,0.02012432751312986,
2009-11-01,11509,130059,0.08849060810862762,294983.322731,14665804.0,0.0201136823273378,
2009-12-01,11475,129808,0.08839979045975595,296373.883488,14593952.0,0.020307993577613523,
2010-01-01,11460,129798,0.08829103684186197,296846.345092,14707068.0,0.020183924157554718,
2010-02-01,11453,129700,0.08830377794911334,301343.62739599997,14735621.0,0.02045001207590776,
2010-03-01,11453,129864,0.08819226267479825,304411.12708,14851144.0,0.020497486730988536,
2010-04-01,11489,130115,0.0882988125888637,308410.719973,14945160.0,0.02063616046753598,
2010-05-01,11525,130645,0.08821615829155345,314729.010472,14956651.0,0.02104274616503387,
2010-06-01,11545,130501,0.08846675504402265,323599.33626999997,15038768.0,0.021517675933959483,
2010-07-01,11561,130420,0.08864437969636559,331195.08545500005,15111476.0,0.02191679260550062,
2010-08-01,11553,130424,0.08858032264000491,340772.25422999996,15108352.0,0.022555223377771445,
2010-09-01,11563,130339,0.0887148129109476,348075.036492,15204986.0,0.022892164221131148,
2010-10-01,11562,130620,0.08851630684428112,353600.55306400004,15286830.0,0.02313105811106685,
2010-11-01,11585,130754,0.08860149593893878,360623.12618200004,15265029.0,0.02362413633030111,
2010-12-01,11595,130835,0.08862307486528834,364952.633595,15376555.0,0.023734356206250362,
2011-01-01,11621,130842,0.08881704651411626,371114.068335,15257527.0,0.02432334337897616,
2011-02-01,11654,131052,0.0889265329792754,375016.026634,15282039.0,0.02453965904903135,
2011-03-01,11675,131277,0.08893408594041606,378323.480294,15514767.0,0.02438473489766234,
2011-04-01,11704,131604,0.08893346706787028,381983.574859,15584359.0,0.024510701714391975,
2011-05-01,11713,131704,0.08893427686326914,385719.208127,15566905.0,0.02477815648820366,
2011-06-01,11727,131936,0.0888840043657531,387250.938885,15521341.0,0.024949579993442578,
2011-07-01,11746,131991,0.08899091604730626,389136.34854499996,15615861.0,0.024919301506654033,
2011-08-01,11764,132124,0.08903757076685538,391135.196637,15715882.0,0.024887893446705698,
2011-09-01,11769,132345,0.08892666893346934,392357.140643,15611300.0,0.025132893522192258,
2011-10-01,11780,132557,0.08886743061475441,395097.912909,15857580.0,0.02491539774095417,
2011-11-01,11770,132701,0.08869563906828132,397298.530652,15838215.0,0.02508480473664488,
2011-12-01,11802,132901,0.08880294354444286,399371.232631,15831006.0,0.02522715439757903,
2012-01-01,11838,133246,0.08884319229095057,402411.419305,15940690.0,0.025244291138275695,
2012-02-01,11860,133518,0.08882697464012343,403271.869911,16208418.0,0.024880396711819748,
2012-03-01,11898,133744,0.08896100011963154,407103.55198499997,16057364.0,0.025353074887322725,
2012-04-01,11916,133827,0.08904032818489542,410539.52311300003,16179483.0,0.025374081675724747,
2012-05-01,11927,133935,0.08905065890170605,412689.28142300004,16220434.0,0.02544255483071538,
2012-06-01,11936,134007,0.08906997395658436,414263.810081,16221473.0,0.02553798968077683,
2012-07-01,11964,134153,0.08918175516015296,417042.32203300006,16321001.0,0.025552496567643128,
2012-08-01,11960,134330,0.08903446735651009,416948.814654,16271269.0,0.025624849214526537,
2012-09-01,11954,134512,0.08886939455215892,418421.994853,16366350.0,0.025565993324901396,
2012-10-01,11961,134671,0.08881644897565177,420855.006674,16334588.0,0.02576465391560534,
2012-11-01,11950,134834,0.08862749751546346,423633.78822000005,16406474.999999998,0.0258211339254776,
2012-12-01,11960,135075,0.08854340181380714,425619.082637,16520095.000000002,0.025763718830733116,
2013-01-01,11983,135265,0.08858906590766273,428395.20102000004,16675728.0,0.02568974506060545,
2013-02-01,11996,135544,0.08850262645340258,433032.692186,16576768.0,0.02612286618151379,
2013-03-01,11999,135689,0.08843016014562713,428895.410458,16634653.999999998,0.02578324805902185,
2013-04-01,12000,135876,0.0883158173628897,429011.08293,16651475.999999998,0.02576414745035215,
2013-05-01,12000,136091,0.08817629380341095,430690.87664699997,16651598.000000002,0.025864837515714702,
2013-06-01,12004,136269,0.08809046811820737,430627.49602799997,16795578.0,0.025639337689241773,
2013-07-01,11984,136391,0.08786503508296002,431497.17144999997,16851855.0,0.025605321874060748,
2013-08-01,12014,136635,0.0879276905624474,433377.84182100004,16935007.0,0.02559065029149383,
2013-09-01,12032,136819,0.08794100234616538,435630.41127000004,16946342.0,0.025706456961036194,
2013-10-01,12056,137039,0.08797495603441356,437218.799877,17049149.0,0.025644611345528152,
2013-11-01,12079,137314,0.0879662670958533,437787.38626,17173949.0,0.025491364057270694,
2013-12-01,12083,137368,0.08796080601013337,440430.019592,17176244.0,0.025641812004533703,
2014-01-01,12081,137552,0.08782860300104688,441613.560349,17072657.0,0.02586671543562317,
2014-02-01,12106,137707,0.0879112899126406,439571.235093,17164115.0,0.02560989803977659,
2014-03-01,12120,137986,0.08783499775339527,443698.04317099997,17196072.0,0.02580229038183836,
2014-04-01,12134,138298,0.08773807285716352,447016.33566,17354704.0,0.0257576467832583,
2014-05-01,12146,138501,0.08769611771756161,448586.84779,17478147.0,0.02566558387396559,
2014-06-01,12170,138833,0.08765927409189458,452307.987619,17555257.0,0.025764817206549582,
2014-07-01,12189,139076,0.08764272771721936,453827.175337,17689519.0,0.02565514502327621,
2014-08-01,12208,139258,0.087664622499246,454759.692907,17797977.0,0.025551201291416435,
2014-09-01,12226,139563,0.08760201486067225,459718.07580900006,17742185.0,0.025911018051553405,
2014-10-01,12259,139805,0.08768642037123135,463207.95540000004,17845431.0,0.025956669547516114,
2014-11-01,12284,140089,0.08768711319232773,465579.205273,17869238.0,0.02605478785793776,
2014-12-01,12292,140366,0.08757106421783054,468474.894856,17842951.0,0.026255460481621008,
2015-01-01,12292,140562,0.08744895490957727,468687.392027,17927139.0,0.02614401506157787,
2015-02-01,12301,140829,0.08734706630026486,469551.02785300004,18058498.0,0.026001665689638197,
2015-03-01,12312,140924,0.0873662399591269,479267.070102,17988408.0,0.026643106499585734,
2015-04-01,12318,141202,0.08723672469228481,478938.245774,18148647.0,0.02638974937217083,
2015-05-01,12333,141540,0.08713437897414159,479832.13990899996,18179286.0,0.026394443649162016,
2015-06-01,12334,141695,0.08704612018772716,481678.861043,18253188.0,0.026388752531502992,
2015-07-01,12349,141989,0.08697152596327884,482574.320873,18275344.0,0.026405758538553366,
2015-08-01,12345,142130,0.08685710265250123,486618.55906,18284055.0,0.02661436749451913,
2015-09-01,12354,142265,0.08683794327487436,487240.734892,18361482.0,0.026536024428311395,
2015-10-01,12362,142585,0.08669916190342603,486215.31568999996,18355359.0,0.026489011502853196,
2015-11-01,12357,142810,0.08652755409285064,485616.560404,18294192.0,0.026544848791572758,
2015-12-01,12362,143083,0.08639740570158579,483201.655364,18346686.0,0.026337271775622038,
2016-01-01,12383,143198,0.08647467143395858,481738.392753,18396884.0,0.026185868908723892,
2016-02-01,12365,143410,0.0862213234781396,486241.29712299997,18361606.0,0.026481414377533204,
2016-03-01,12342,143666,0.08590759121852073,474916.706501,18517429.0,0.025647011067303133,
2016-04-01,12353,143856,0.08587059281503726,471715.516573,18604689.0,0.025354657450764158,
2016-05-01,12332,143901,0.08569780613060368,470147.213257,18585662.0,0.025296231754187718,
2016-06-01,12350,144152,0.08567345579665908,467232.563676,18644500.0,0.025060074749979885,
2016-07-01,12372,144515,0.08561049026052658,465456.343238,18663869.0,0.024938898962374844,
2016-08-01,12348,144664,0.0853564120997622,464540.062171,18776168.0,0.024740940865622847,
2016-09-01,12347,144961,0.08517463317719938,460836.039476,18886339.0,0.024400496013335354,
2016-10-01,12345,145069,0.08509743639233744,460324.20538,18859038.0,0.02440867903124221,
2016-11-01,12342,145189,0.08500643988180923,461042.062961,18983295.0,0.024286724878952785,
2016-12-01,12355,145408,0.08496781470070422,462419.991603,19061790.0,0.024259001468539942,
2017-01-01,12366,145639,0.08490857531293129,466629.110879,19086061.0,0.024448685922097806,
2017-02-01,12380,145845,0.08488463780040453,463347.17576600006,19133199.0,0.024216921371381758,
2017-03-01,12393,145975,0.084898098989553,467696.84251900006,19225322.0,0.02432712661556462,
2017-04-01,12400,146172,0.08483156828941248,472218.508859,19173947.0,0.024628132583186968,
2017-05-01,12409,146389,0.08476729808933732,476461.62699200003,19310008.0,0.02467433607443353,
