Date,Manufacturing Employees,Industrial Output,Manufacturing Output,Employees
2004-06-01,14332.0,151.02033182739248,162.16664370824435,85.1119425144011
2004-07-01,14330.0,152.14084287150064,163.59563330807904,85.10006532454422
2004-08-01,14345.0,152.27371043652767,164.34396308285693,85.18914424847081
2004-09-01,14331.0,152.45097560896278,164.4901508368345,85.10600391947266
2004-10-01,14332.0,153.79314943291405,166.21805909497897,85.1119425144011
2004-11-01,14307.0,154.17191143897034,166.20015152558716,84.9634776411901
2004-12-01,14287.0,155.37959141190893,167.56233211653694,84.8447057426213
2005-01-01,14257.0,155.93334179002045,168.63007094152488,84.6665478947681
2005-02-01,14273.0,157.03677683127933,170.15686342034573,84.76156541362315
2005-03-01,14269.0,156.83430422606676,169.35171155038225,84.73781103390937
2005-04-01,14250.0,157.14476222072602,170.05165645016874,84.62497773026901
2005-05-01,14256.0,157.311619162853,170.5124319856739,84.66060929983966
2005-06-01,14227.0,157.99173196204896,170.9630484193126,84.4883900469149
2005-07-01,14226.0,157.48677016350678,170.34902541497345,84.48245145198646
2005-08-01,14203.0,158.0104342508839,171.29519939389763,84.34586376863234
2005-09-01,14175.0,154.940982081581,169.31383015359182,84.17958311063603
2005-10-01,14192.0,156.8362557692495,171.8782285281355,84.2805392244195
2005-11-01,14187.0,158.55491479887718,173.48405537571458,84.2508462497773
2005-12-01,14193.0,159.3415493301328,173.69257524622907,84.28647781934794
2006-01-01,14210.0,159.58825691415484,175.05664990701837,84.38743393313142
2006-02-01,14209.0,159.66534286987434,174.57142365176665,84.38149533820298
2006-03-01,14214.0,160.0099528702321,174.43505062332116,84.41118831284517
2006-04-01,14226.0,160.47685957671027,175.05010675666367,84.48245145198646
2006-05-01,14203.0,160.52288347010398,174.6866175356429,84.34586376863234
2006-06-01,14213.0,161.07175499025854,175.3207865555479,84.40524971791675
2006-07-01,14188.0,160.97043737335298,174.82505682209518,84.25678484470575
2006-08-01,14159.0,161.67006560437665,176.2259797506715,84.08456559178099
2006-09-01,14125.0,161.361233895703,176.39093601487704,83.88265336421402
2006-10-01,14075.0,161.20608621267266,175.58457882774294,83.58572361779203
2006-11-01,14041.0,161.1598996906804,175.8218541221847,83.38381139022508
2006-12-01,14015.0,162.81106785190389,178.51504924581582,83.22940792208563
2007-01-01,14008.0,162.23357369840198,177.88174116674702,83.18783775758656
2007-02-01,13997.0,163.8117216188701,178.5398443418968,83.12251321337372
2007-03-01,13970.0,164.09599640916053,180.09780287898613,82.96217115030583
2007-04-01,13945.0,165.21016493792465,181.27367587299398,82.81370627709484
2007-05-01,13929.0,165.2792820923145,181.18258833252978,82.71868875823981
2007-06-01,13911.0,165.30904312585176,181.89165920517942,82.61179404952789
2007-07-01,13889.0,165.05583039788712,181.93332874164886,82.4811449611022
2007-08-01,13828.0,165.37279353648896,181.50974585026515,82.11889067046737
2007-09-01,13790.0,165.7832681192653,182.1480473861836,81.89322406318665
2007-10-01,13764.0,165.28676300784844,181.89544734485847,81.73882059504722
2007-11-01,13757.0,166.217486477432,182.9461395412907,81.69725043054812
2007-12-01,13746.0,166.3046554062625,183.24299194159374,81.63192588633528
2008-01-01,13725.0,166.10885057359104,182.8586679523383,81.50721539283805
2008-02-01,13696.0,165.5024085295447,181.54521661271437,81.3349961399133
2008-03-01,13659.0,164.96313209670546,180.78948274674562,81.11526812756102
2008-04-01,13599.0,163.8359532800562,178.93467180935323,80.75895243185462
2008-05-01,13564.0,162.84326831441962,177.95991459466904,80.55110160935922
2008-06-01,13504.0,162.40921258485145,176.68090088849092,80.19478591365284
2008-07-01,13430.0,161.6876294930216,174.73689648047383,79.75532988894828
2008-08-01,13358.0,159.12362700805662,172.45953578070115,79.3277510541006
2008-09-01,13275.0,152.1536905307872,166.3310145326813,78.83484767504008
2008-10-01,13147.0,153.67686998494057,165.408774709002,78.07470752419977
2008-11-01,13034.0,151.68190496635214,161.2772918245058,77.40364629728606
2008-12-01,12850.0,147.38704630686715,155.72560093670361,76.31094483045312
2009-01-01,12561.0,143.73294432572555,150.6551759763069,74.59469089613397
