St. Vincent and the Grenadines,VCT,"GDP per capita, PPP (current international $)",14788.84181,14211.48403,15045.30178
"Venezuela, RB",VEN,"GDP per capita, PPP (current international $)",,,
British Virgin Islands,VGB,"GDP per capita, PPP (current international $)",,,
Virgin Islands (U.S.),VIR,"GDP per capita, PPP (current international $)",,,
Vietnam,VNM,"GDP per capita, PPP (current international $)",10684.68628,11022.957,11676.10856
Vanuatu,VUT,"GDP per capita, PPP (current international $)",3199.933726,2992.173313,3057.4114
World,WLD,"GDP per capita, PPP (current international $)",17496.44918,17110.46554,18603.86985
Samoa,WSM,"GDP per capita, PPP (current international $)",6613.982839,6394.375803,6079.764271
Kosovo,XKX,"GDP per capita, PPP (current international $)",11796.15331,11292.86265,13055.90078
"Yemen, Rep.",YEM,"GDP per capita, PPP (current international $)",,,
South Africa,ZAF,"GDP per capita, PPP (current international $)",14436.83264,13517.78059,14624.41517
Zambia,ZMB,"GDP per capita, PPP (current international $)",3514.688008,3358.005322,3555.920229
Zimbabwe,ZWE,"GDP per capita, PPP (current international $)",2296.390269,2099.320459,2323.687257
